ASUS, ASUS TUF Gaming GeForce GTX 1650 SUPER Overclocked 4GB Edition Gaming Graphics Card (TUF-GTX1650S-O4G-GAMING)
EVGA, EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate
MSI, MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC Video Card
ASUS, ASUS GeForce GTX 1660 Super Overclocked 6GB Dual-fan EVO Edition Graphics Card (DUAL-GTX1660S-O6G-EVO)
Sapphire Tech, SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR Video Card
GIGABYTE, GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6GD rev. 2.0 Video Card
GIGABYTE, GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card, PCIe 3.0, 8GB 256-Bit GDDR5, GV-RX580GAMING-8GD REV2.0 Video Card
MSI, MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G Video Card
MSI, MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card
XFX, XFX Radeon RX 5700 XT DirectX 12 RX-57XT83LD8 Video Card
MSI, MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC Video Card
MSI, MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC Video Card
